BET_Name,TEDataIP,Parent_Interface
HARAM900-M01H-GZ-EG,10.41.160.210,ge-1/0/2
HARAMCB60-M01H-GZ-EG,10.41.12.66,ge-1/0/3
HARAMCB60-M02H-GZ-EG,10.41.12.67,ge-1/0/3
HARMC191-M01H-GZ-EG,10.42.111.66,ge-1/0/4
HARAM192-M01H-GZ-EG,10.42.112.18,ge-1/0/5
HRMCB34-M01H-GZ-EG,10.40.54.154,ge-1/0/7
HRMCB34-M02H-GZ-EG,10.40.54.155,ge-1/0/7
Voice1891-M01H-C-EG,10.40.54.162,ge-1/0/8
Voice1892-M02H-C-EG,10.40.54.163,ge-1/0/8
HRAMCB56-M01H-GZ-EG,10.40.198.98,ge-1/0/9
HRMCB64-M01H-GZ-EG,10.41.12.90,ge-1/1/2
HRMCB64-M02H-GZ-EG,10.41.12.91,ge-1/1/2
HARMC75-M01N-GZ-EG,10.41.15.146,ge-1/1/4
HARMC75-M02N-GZ-EG,10.41.15.147,ge-1/1/4
MRTIAC71-M01H-GZ-EG,10.41.55.50,ge-1/1/6
MRTIAC71-M02H-GZ-EG,10.41.55.51,ge-1/1/6
HARAMC68-M01H-GZ-EG,10.41.12.98,ge-1/1/7
HARAMC68-M02H-GZ-EG,10.41.12.99,ge-1/1/7
HARMCB44-M01H-GZ-EG,10.40.234.58,ge-1/2/6
HARMCB44-M02H-GZ-EG,10.40.234.59,ge-1/2/6
HRMCB46-M01H-GZ-EG,10.40.234.74,ge-1/2/8
HRMCB46-M02H-GZ-EG,10.40.234.75,ge-1/2/8
RMCB47-M01H-GZ-EG,10.40.234.82,ge-1/2/9
RMCB47-M02H-GZ-EG,10.40.234.83,ge-1/2/9
HARAMC48-M01H-GZ-EG,10.40.234.90,ge-1/3/0
HARAMC48-M02H-GZ-EG,10.40.234.91,ge-1/3/0
HARAMC70-M01H-GZ-EG,10.41.55.42,ge-1/3/1
HARAMC70-M02H-GZ-EG,10.41.55.43,ge-1/3/1
HARAM155-M01H-GZ-EG,10.42.111.2,ge-1/3/2
HRAMC161-M01H-GZ-EG,10.50.13.58,ge-1/3/3
HARMC73-M01N-GZ-EG,10.41.15.130,ge-1/3/6
HARMC73-M02N-GZ-EG,10.41.15.131,ge-1/3/6
HARMC74-M01N-GZ-EG,10.41.15.138,ge-1/3/7
HARMC74-M02N-GZ-EG,10.41.15.139,ge-1/3/7
HRAMCB51-M01H-GZ-EG,10.40.122.162,ge-1/3/8
HRAMCB51-M02H-GZ-EG,10.40.122.163,ge-1/3/8
HRM510CB-M01H-C-EG,10.40.128.2,irb
HRM510CB-M02H-C-EG,10.40.128.3,irb
HRM520CB-M01H-C-EG,10.40.128.10,irb
HRM530CB-M01H-C-EG,10.40.128.18,irb
HRM530CB-M02H-C-EG,10.40.128.19,irb
HRMHR540-M01H-C-EG,10.40.128.26,irb
HRMHR540-M02H-C-EG,10.40.128.27,irb
HRMHR550-M01H-C-EG,10.40.128.34,irb
HRMHR550-M02H-C-EG,10.40.128.35,irb
HRMHR560-M01H-C-EG,10.40.128.42,irb
HRMHR560-M02H-C-EG,10.40.128.43,irb
HRMHR610-M01H-C-EG,10.40.128.50,irb
HRMHR610-M02H-C-EG,10.40.128.51,irb
HRMHR620-M01H-C-EG,10.40.128.58,irb
HRMHR620-M02H-C-EG,10.40.128.59,irb
HRMHR630-M01H-C-EG,10.40.128.66,irb
HRMHR630-M02H-C-EG,10.40.128.67,irb
HRMHR710-M01H-C-EG,10.40.128.98,irb
HRMHR710-M02H-C-EG,10.40.128.99,irb
HRMHR720-M01H-C-EG,10.40.128.106,irb
HRMHR720-M02H-C-EG,10.40.128.107,irb
HRMHR730-M01H-C-EG,10.40.128.114,irb
HRMHR730-M02H-C-EG,10.40.128.115,irb
HRMHR740-M01H-C-EG,10.40.128.122,irb
HRMHR740-M02H-C-EG,10.40.128.123,irb
HRMHR750-M01H-C-EG,10.40.128.130,irb
HRMHR750-M02H-C-EG,10.40.128.131,irb
Voice1704-M01H-C-EG,10.41.244.46,ae0
QTMIAPLZ-M01H-C-EG,10.40.62.122,ge-0/0/1
QTMIAPLZ-M02H-C-EG,10.40.62.123,ge-0/0/1
SMMAXIM-M01H-C-EG,10.40.62.2,ge-0/0/2
SMHAYAH-M01H-C-EG,10.40.62.10,ge-0/0/3
SMZNHGRD-M01H-C-EG,10.40.62.18,ge-0/0/4
SMADHYTD-M01H-C-EG,10.40.62.26,ge-0/0/5
SHLNDCB9-M01H-C-EG,10.40.165.250,ge-0/0/6
SMTIDA-M01H-C-EG,10.40.62.42,ge-0/0/7
SMAYQONA-M01H-C-EG,10.40.62.58,ge-0/0/8
SMFMLCTY-M01H-C-EG,10.40.62.66,ge-0/0/9
SMGHCB-M01H-C-EG,10.40.62.74,ge-0/1/0
SMZHRTGM-M01H-C-EG,10.40.62.82,ge-0/1/1
SHPRDC18-M01H-C-EG,10.40.62.90,ge-0/1/2
SHHYTC12-M01H-C-EG,10.40.62.98,ge-0/1/3
GRDSPCB-M01H-C-EG,10.40.62.50,ge-0/1/4
Voice1806-M01H-C-EG,10.40.213.162,ge-0/1/5
SMARMS20-M01H-C-EG,10.40.213.163,ge-0/1/5
MTSHST19-M01H-C-EG,10.40.62.106,ge-0/1/6
SHGACB19-M01H-C-EG,10.40.62.114,ge-0/1/7
SHHGTC21-M01H-C-EG,10.40.62.130,ge-0/1/8
SHHGTC21-M02H-C-EG,10.40.62.131,ge-0/1/8
SHMSC22-M01H-C-EG,10.41.43.50,ge-0/1/9
SHTALC11-M01H-C-EG,10.40.62.138,ge-0/2/0
SMFLPCB-M01H-C-EG,10.40.62.154,ge-0/2/1
SHMOSC23-M01H-C-EG,10.40.62.146,ge-0/2/2
SHMMST24-M01H-C-EG,10.40.232.122,ge-0/2/7
SHMMST26-M01H-C-EG,10.40.233.186,ge-0/3/0
SHLMCB25-M01H-C-EG,10.40.233.178,ge-0/3/1
SHMSTM27-M01H-C-EG,10.42.24.82,ge-1/0/6
SHMSTM28-M01H-C-EG,10.42.24.90,ge-1/0/7
SHMSTM29-M01Z-C-EG,10.42.48.226,ge-1/0/8
SHMLMS30-M01Z-C-EG,10.42.237.218,ge-1/2/0
Voice1258-M01H-C-EG,10.42.227.138,ge-1/2/1
Voice1088-M01Z-C-EG,10.50.166.50,ge-1/2/7
SHLMSC37-M01Z-C-EG,10.50.166.58,ge-1/2/8
SHAMSC31-M01H-C-EG,10.50.65.170,ge-1/2/9
SHMOSC40-M01Z-C-EG,10.60.59.186,ge-1/3/0
SHMLSC42-M01Z-C-EG,10.60.61.106,ge-1/3/2
Voice1464-M01H-C-EG,10.60.62.82,ge-1/3/5
Voice1682-M01H-C-EG,10.60.62.90,ge-1/3/6
Voice1465-M01H-C-EG,10.50.166.66,ge-1/3/7
GNOBMS35-M01Z-C-EG,10.60.31.34,ge-1/3/8
SHMLMS38-M01Z-C-EG,10.60.58.18,ge-1/3/9
15MAYC67-M01N-C-EG,10.42.22.2,ge-0/0/2
15MYCBH5-M01H-C-EG,10.41.101.90,ge-0/0/9
15MAYC1-M01H-C-EG,10.41.101.34,ge-0/1/2
15MAYC1-M02H-C-EG,10.41.101.35,ge-0/1/2
15MAYC2-M01H-C-EG,10.41.101.42,ge-0/1/3
15MAYC2-M02H-C-EG,10.41.101.43,ge-0/1/3
15MESCB1-M01H-C-EG,10.41.101.18,ge-0/1/4
15MESCB2-M01H-C-EG,10.41.101.26,ge-0/1/5
15MAY-M02H-C-EG,10.41.161.138,ge-0/1/9
15MAY-M01H-C-EG,10.41.221.90,ge-0/2/0
15MAYC25-M01H-C-EG,10.40.236.114,ge-0/2/2
15MAYC26-M01H-C-EG,10.40.236.130,ge-0/2/3
15MAY135-M01H-C-EG,10.50.137.50,ge-0/2/4
15MAY135-M02H-C-EG,10.50.149.131,ge-0/2/4
15MAY120-M01H-C-EG,10.50.55.226,ge-0/3/9
15MAYC46-M01H-C-EG,10.41.251.218,ge-1/2/5
15MAYC46-M02H-C-EG,10.41.251.219,ge-1/2/5
15MAY121-M01H-C-EG,10.50.55.242,ge-1/2/7
15MAY122-M01H-C-EG,10.50.55.250,ge-1/2/8
15MAY123-M01H-C-EG,10.50.55.234,ge-1/2/9
15MYC116-M01H-C-EG,10.50.55.210,ge-1/3/1
15MAY118-M01H-C-EG,10.50.55.218,ge-1/3/3
15MAY182-M01H-C-EG,10.50.56.2,ge-1/3/4
15MAY184-M01H-C-EG,10.50.56.10,ge-1/3/5
15MAY185-M01H-C-EG,10.50.56.18,ge-1/3/8
15MAY186-M01H-C-EG,10.50.56.26,ge-1/3/9
NZH2C900-M01H-C-EG,10.40.148.74,ae0
NZH2C125-M01H-C-EG,10.50.67.66,ge-0/0/0
NZHA2R7-M01H-C-EG,10.40.148.50,ge-0/0/1
NZHA2R7-M02H-C-EG,10.40.148.51,ge-0/0/1
