_id,TE_ipaddress,TE_ifName
5f47fb0fbdb27375ccf3f3ec,10.40.244.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f3ef,10.40.94.162,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f1,10.42.115.74,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f2,10.40.126.74,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f3,10.42.174.58,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f4,10.41.54.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f5,10.40.61.202,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f6,10.41.58.122,ethernet0/9/1
5f47fb0fbdb27375ccf3f3f7,10.40.236.170,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f8,10.41.95.218,ethernet0/9/0
5f47fb0fbdb27375ccf3f3f9,10.40.74.242,ethernet0/9/0
5f47fb0fbdb27375ccf3f3fa,10.42.135.154,ethernet0/9/0
5f47fb0fbdb27375ccf3f3fb,10.41.245.186,ethernet0/10/0
5f47fb0fbdb27375ccf3f3fd,10.42.96.130,ethernet0/10/0
5f47fb0fbdb27375ccf3f3ff,10.42.101.26,ethernet0/9/0
5f47fb0fbdb27375ccf3f400,10.40.110.114,ethernet0/10/0
5f47fb0fbdb27375ccf3f402,10.40.244.138,ethernet0/9/0
5f47fb0fbdb27375ccf3f405,10.42.151.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f406,10.40.222.106,ethernet0/9/0
5f47fb0fbdb27375ccf3f407,10.40.253.202,ethernet0/10/0
5f47fb0fbdb27375ccf3f40a,10.42.145.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f40b,10.41.86.154,ethernet0/9/0
5f47fb0fbdb27375ccf3f40d,10.42.202.186,ethernet0/9/0
5f47fb0fbdb27375ccf3f40e,10.42.83.178,ethernet0/9/0
5f47fb0fbdb27375ccf3f40f,10.40.29.98,ethernet0/9/0
5f47fb0fbdb27375ccf3f410,10.42.53.194,ethernet0/9/0
5f47fb0fbdb27375ccf3f411,10.40.73.130,ethernet0/10/0
5f47fb0fbdb27375ccf3f414,10.40.220.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f417,10.40.100.251,ethernet0/10/0
5f47fb0fbdb27375ccf3f418,10.40.74.98,ethernet0/9/0
5f47fb0fbdb27375ccf3f419,10.41.20.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f41a,10.40.220.34,ethernet0/10/0
5f47fb0fbdb27375ccf3f41d,10.42.129.162,ethernet0/10/0
5f47fb0fbdb27375ccf3f41e,10.40.51.235,ethernet0/9/0
5f47fb0fbdb27375ccf3f41f,10.42.129.226,ethernet0/10/0
5f47fb0fbdb27375ccf3f422,10.40.94.98,ethernet0/9/0
5f47fb0fbdb27375ccf3f423,10.40.47.130,ethernet0/10/0
5f47fb0fbdb27375ccf3f425,10.42.91.26,ethernet0/9/0
5f47fb0fbdb27375ccf3f426,10.41.106.250,ethernet0/10/0
5f47fb0fbdb27375ccf3f427,10.60.61.138,ethernet0/10/0
5f47fb0fbdb27375ccf3f428,10.41.129.74,ethernet0/10/0
5f47fb0fbdb27375ccf3f429,10.40.29.83,ethernet0/9/1
5f47fb0fbdb27375ccf3f42a,10.41.71.98,ethernet0/10/0
5f47fb0fbdb27375ccf3f42b,10.42.172.162,ethernet0/9/0
5f47fb0fbdb27375ccf3f42c,10.41.19.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f42e,10.40.71.138,ethernet0/9/0
5f47fb0fbdb27375ccf3f42f,10.40.114.66,ethernet0/9/0
5f47fb0fbdb27375ccf3f432,10.42.200.202,ethernet0/9/0
5f47fb0fbdb27375ccf3f435,10.42.115.82,ethernet0/10/0
5f47fb0fbdb27375ccf3f436,10.40.102.10,ethernet0/10/0
5f47fb0fbdb27375ccf3f437,10.41.215.10,ethernet0/9/0
5f47fb0fbdb27375ccf3f438,10.41.12.34,ethernet0/10/0
5f47fb0fbdb27375ccf3f439,10.40.105.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f43a,10.40.7.10,ethernet0/10/0
5f47fb0fbdb27375ccf3f43b,10.40.126.27,ethernet0/9/0
5f47fb0fbdb27375ccf3f43c,10.41.74.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f43d,10.41.95.178,ethernet0/9/0
5f47fb0fbdb27375ccf3f43e,10.42.115.210,ethernet0/10/0
5f47fb0fbdb27375ccf3f43f,10.42.101.122,ethernet0/9/0
5f47fb0fbdb27375ccf3f440,10.41.12.130,ethernet0/9/0
5f47fb0fbdb27375ccf3f444,10.40.93.106,ethernet0/9/0
5f47fb0fbdb27375ccf3f445,10.42.174.82,ethernet0/9/0
5f47fb0fbdb27375ccf3f446,10.41.56.10,ethernet0/10/0
5f47fb0fbdb27375ccf3f448,10.41.18.2,ethernet0/9/0
5f47fb0fbdb27375ccf3f449,10.40.253.66,ethernet0/10/0
5f47fb0fbdb27375ccf3f44a,10.40.127.210,ethernet0/9/0
5f47fb0fbdb27375ccf3f44b,10.42.136.234,ethernet0/10/0
5f47fb0fbdb27375ccf3f451,10.40.100.162,ethernet0/9/0
5f47fb0fbdb27375ccf3f45a,10.41.74.250,ethernet0/10/0
5f47fb0fbdb27375ccf3f45b,10.40.220.74,ethernet0/10/0
5f47fb0fbdb27375ccf3f45d,10.42.91.82,ethernet0/10/0
5f47fb0fbdb27375ccf3f45e,10.40.214.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f460,10.40.225.2,gei_1/21/1
5f47fb0fbdb27375ccf3f462,10.42.115.250,ethernet0/9/0
5f47fb0fbdb27375ccf3f464,10.40.95.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f465,10.42.101.50,ethernet0/9/0
5f47fb0fbdb27375ccf3f466,10.40.125.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f467,10.40.197.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f468,10.40.160.10,ethernet0/9/0
5f47fb0fbdb27375ccf3f469,10.41.12.202,ethernet0/10/0
5f47fb0fbdb27375ccf3f46a,10.42.115.218,ethernet0/10/0
5f47fb0fbdb27375ccf3f46c,10.40.207.226,ethernet0/9/0
5f47fb0fbdb27375ccf3f46d,10.40.203.250,ethernet0/9/0
5f47fb0fbdb27375ccf3f46e,10.40.12.122,ethernet0/9/0
5f47fb0fbdb27375ccf3f46f,10.42.135.138,ethernet0/9/0
5f47fb0fbdb27375ccf3f470,10.40.126.90,ethernet0/9/0
5f47fb0fbdb27375ccf3f473,10.41.81.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f474,10.50.8.146,gei_1/21/1
5f47fb0fbdb27375ccf3f476,10.42.174.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f477,10.40.107.187,ethernet0/9/0
5f47fb0fbdb27375ccf3f478,10.40.98.35,ethernet0/10/0
5f47fb0fbdb27375ccf3f47a,10.41.54.115,ethernet0/9/0
5f47fb0fbdb27375ccf3f47d,10.40.128.82,ethernet0/10/0
5f47fb0fbdb27375ccf3f47e,10.42.97.10,ethernet0/9/0
5f47fb0fbdb27375ccf3f47f,10.41.77.74,ethernet0/10/0
5f47fb0fbdb27375ccf3f480,10.40.74.58,ethernet0/9/0
5f47fb0fbdb27375ccf3f481,10.40.69.50,ethernet0/10/0
5f47fb0fbdb27375ccf3f483,10.42.86.74,gei_1/21/1
5f47fb0fbdb27375ccf3f485,10.40.47.210,ethernet0/10/0
5f47fb0fbdb27375ccf3f486,10.42.90.10,ethernet0/9/0
5f47fb0fbdb27375ccf3f487,10.40.154.10,ethernet0/10/0
5f47fb0fbdb27375ccf3f488,10.40.170.34,ethernet0/10/0
5f47fb0fbdb27375ccf3f489,10.41.81.146,ethernet0/9/0
5f47fb0fbdb27375ccf3f48a,10.42.54.58,ethernet0/9/0
5f47fb0fbdb27375ccf3f48c,10.40.116.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f48d,10.40.92.242,ethernet0/10/0
5f47fb0fbdb27375ccf3f48f,10.41.12.98,ethernet0/9/0
5f47fb0fbdb27375ccf3f491,10.40.47.202,ethernet0/9/0
5f47fb0fbdb27375ccf3f495,10.42.43.250,gei_1/21/1
5f47fb0fbdb27375ccf3f497,10.40.236.146,ethernet0/10/0
